BY,ENTITYNAME,CONTACT
DEPT,aiondept,berbe02
DEPT,bdmtdept,tucjo02
DEPT,carepsty,berbe02
DEPT,ccsdvdpt,damda01
DEPT,chrdevd,addma03
DEPT,db2cutdp,tucjo02
DEPT,dcmdev1,colde05
DEPT,dept413,cafjo01
DEPT,dept420,sirjo01
DEPT,endvdpt,berbe02
DEPT,gendiv,sirjo01
DEPT,gvsdept,berbe02
DEPT,fdntdept,tucjo02
DEPT,idmsdept,damda01
DEPT,imstdept,tucjo02
DEPT,lsvdept,damda01
DEPT,m2db2eap,tucjo02
DEPT,mimdept,damda01
DEPT,misomds,jambr01
DEPT,msmdept,damda01
DEPT,mspsdept,damda01
DEPT,mspsdiv,damda01
DEPT,mwadev,carju01
DEPT,nmsdept,norst02
DEPT,omdept,kokja01
DEPT,opsdept,berbe02
DEPT,rardevd,damda01
DEPT,scadevd,tunem01
DEPT,stordep,giero01
DEPT,syspdept,armfr01
DEPT,ttooldpt,abbwi01
PROD,AUDIT,petja04
PROD,ACF,petja04
PROD,COMGR,petja04
PROD,LIBR,odomi05
PROD,PANV,svami01
PROD,ENDPANV,ricar01
PROD,DADSP,abbwi01
PROD,INTBT,abbwi01
PROD,INTCI,abbwi01
PROD,FMDB2,abbwi01
PROD,FMIMS,abbwi01
PROD,FMMVS,abbwi01
PROD,VERFY,abbwi01
PROD,DBT,tunem01
PROD,VANT,seqiv01
PROD,SPOOL,werwa01
PROD,LPD,werwa01
PROD,FAVR,casjo02
PROD,CREW,casjo02
PROD,PDSM,wasch01
PROD,TPX,wasch01
PROD,DISK,casjo02
PROD,ALLOC,casjo02
PROD,ASTEX,casjo02
PROD,TLMS,casjo02
PROD,BUNDL,raubr02
PROD,DRAS,raubr02
PROD,DLVR,raubr02
PROD,DISPA,raubr02
PROD,VIEW,raubr02
PROD,EBC,raubr02
PROD,CPS,macco01
PROD,FLO,macco01
PROD,LSERV,slejo01
PROD,OPS,slejo01
PROD,MIM,slejo01
PROD,IDMS,breja10
PROD,MSPS,damda01
PROD,SCH,macco01
PROD,CTS,joheu02
PROD,NETM,joheu02
PROD,OPS,joheu02
PROD,RCM,tucjo02
PROD,RCS,tucjo02
PROD,SYSVW,tucjo02
PROD,IPC,colde05
PROD,TELON,konda02
PROD,MSM,supmi01
PROD,XCOM,schbr09
PROD,PMO,cafjo01
PROD,RCS,cafjo01
PROD,JARS,cafjo01
PROD,EZTRV,svami01
PROD,HBUF,cafjo01
PROD,AION,watke08
